Date,Title,Comment,Authors,ISBN,Status
22/12/2023,Storie straordinarie delle materie prime,interessante.,"Alessandro Giraudo, S. Prencipe",9788867832361,matched
26/12/2023,La carta e il territorio,"carino, non il migliore di Houellebecq.",Houellebecq Michel,9788845268366,matched
28/12/2023,Fantasmagonia,"bello, ultimi due racconti un po' cosi', molto belli gli altri.",Michele Mari,9788806253073,matched
29/12/2023,"Lo sapevo, qui, sopra il fiume Hao",bello.,Carlo Rovelli,9788828213314,matched
04/01/2024,Ignoranza,bof.,,,unmatched
13/01/2024,How civil wars start,molto interessante.,Barbara F. Walter,9780593443378,matched
14/01/2024,L'altra figlia,"mmh, giudizio sospeso.",,,unmatched
15/01/2024,Il posto,bof.,Annie Ernaux,9788898038152,matched
24/01/2024,Mondi paralleli,interessante.,,,unmatched
27/01/2024,Niente asilo politico,molto bello.,Enrico Calamai,9788807887819,matched
29/01/2024,La scomparsa di Josef Mengele,bello.,Olivier Guez,9788865596883,matched
30/01/2024,What If 2,sempre interessante.,Randall Munroe,9780525537113,matched
31/01/2024,La fuga di Enea,spunti interessanti.,,,unmatched
02/02/2024,La tirannia della scelta,"bof, piuttosto deluso.","Renata Salecl, F. Orsi",9788842095002,matched
03/02/2024,La vasca di Archimede,bof.,,,unmatched
04/02/2024,Adelphiana 3,interessante.,,,unmatched
11/02/2024,Viaggiare nello spazio tempo: la scienza di interstellar,molto molto interessante.,,,unmatched
12/02/2024,Man's Search For Meaning,interessante.,,,unmatched
14/02/2024,Adelphiana 4,come gli altri interessante.,,,unmatched
19/02/2024,Il secolo mobile,molto molto bello e interessante.,,,unmatched
24/02/2024,Dio e' matematico,interessante ma non il migliore di Livio.,,,unmatched
05/03/2024,Poteri illegittimi,il solito buon vecchio Chomsky.,,,unmatched
10/03/2024,Flatterland,"carino ma me lo immaginavo diverso, piu' legato alle dimensioni che alla fisica.",Ian Stewart,9780738204420,matched
14/03/2024,Lo strano caso del lago Vittoria,carino!,,,unmatched
15/03/2024,"Scorrete lacrime, disse il poliziotto",bello.,,,unmatched
17/03/2024,Il popolo dell'autunno,"non proprio il mio genere, cmq carino.",,,unmatched
18/03/2024,La sentinella,molto carino.,,,unmatched
19/03/2024,Il fabbricante di universi,bof.,,,unmatched
21/03/2024,City,carino.,,,unmatched
23/03/2024,L'amnistia Togliatti,molto interessante.,,,unmatched
26/03/2024,L'eta' dello tsunami,molto interessante.,,,unmatched
30/03/2024,PFAS,"molto inquietante, molto molto.",,,unmatched
03/04/2024,8 secondi,"bof, lo stile mi ha profondamente irritato.",,,unmatched
06/04/2024,Frontiera,interessante.,,,unmatched
09/04/2024,Il costo della spedizione gratuita,interessante ma ripetitivo.,,,unmatched
14/04/2024,Guerra,interessante ma prolisso.,,,unmatched
24/04/2024,La misura del mondo,carino.,Daniel Kehlmann,9788807017025,matched
27/04/2024,Un mondo senza confini,giudizio sospeso.,,,unmatched
04/05/2024,Le guerre illegali della Nato,molto interessante.,"Daniele Ganser, Carlo Rovelli, Alessandro De Lachenal",9788893254786,matched
07/05/2024,Le strane storie di Fukiage,bof.,"Banana Yoshimoto, Gala Maria Follaco",9788807035173,matched
15/05/2024,"Sangue, Ferro e Oro",molto interessante.,,,unmatched
17/05/2024,La virata,carino.,"William Langewiesche, M. Codignola",9788845920714,matched
21/05/2024,Dieci lezioni sul male,molto interessante.,,,unmatched
23/05/2024,Africa - Andata e ritorno,a tratti veramente commovente.,Medici con l'Africa Cuamm,9788858152447,matched
29/05/2024,Patient H69,"interessante la prima parte, bof il resto.",Vanessa Potter,9781472936103,matched
30/05/2024,Esecuzioni a distanza,carino.,Langerwiesche William,9788845926471,matched
31/05/2024,The programmer's brain,molto molto interessante.,Felienne Hermans,9781617298677,matched
01/06/2024,"Major Taylor, Il negro volante",molto interessante.,,,unmatched
08/06/2024,Silicio,"interessante la parte autobiografica, molto meno quella finale.",,,unmatched
10/06/2024,L'equazione di Dio,interessante.,,,unmatched
11/06/2024,T,triste ma carino.,"Chetna Maroo, Gioia Guerzoni",9788845938580,matched
14/06/2024,"Aggiustare il mondo. La vita, il processo e l'eredita' di Aaron Swartz",molto molto interessante e di ispirazione.,,,unmatched
17/06/2024,Una lanterna nel buio,interessante.,,,unmatched
20/06/2024,Il bazar atomico,"molto interessante, un'introduzione a come costruirsi una bomba atomica.","William Langewiesche, M. Codignola",9788845921650,matched
24/06/2024,Il pasaseggero,proprio bello.,,,unmatched
26/06/2024,Stella Maris,"strepitoso, uno dei piu' bei romanzi letti negli ultimi anni.","Cormac McCarthy, Maurizia Balmelli",9788806259587,matched
03/07/2024,l'universo in una scatola,interessante.,,,unmatched
05/07/2024,"Pachinko, la moglie coreana",molto bello.,"Min Jin Lee, Federica Merani",9788855446877,matched
08/07/2024,Notre-Dame de Paris,molto bello.,,,unmatched
09/07/2024,Hiroshima,"bello, forse un po' datato.",John Hersey,9780141982243,matched
12/07/2024,La fisica della lavatrice,molto interessante.,,,unmatched
17/07/2024,The other pandemic,molto interessante e inquietante.,James Ball,9781526671851,matched
18/07/2024,Longitudine,carino.,,,unmatched
19/07/2024,Maniac,bello.,Benjamín Labatut,9788845938320,matched
21/07/2024,Locus desperatus,Mari non si smentisce mai.,Michele Mari,9788806264512,matched
22/07/2024,Brief Answers to big questions,interessante.,,,unmatched
28/07/2024,Storie proprio cosi',molto carino.,Kipling Rudyard,9788845926310,matched
30/07/2024,La stanza dell'imperatore,molto bello.,,,unmatched
03/08/2024,"Piu' ci rinchiudono, piu' diventiamo forti",bof.,,,unmatched
07/08/2024,Le meraviglie del possibile,molto bello.,,,unmatched
11/08/2024,The Labyrinth,molto carino.,"Simon Stålenhag, Francesco Matteuzzi",9788804758501,matched
12/08/2024,Gli anelli della vita,interessante.,,,unmatched
16/08/2024,Fillosofia e storia,molto interessnte.,,,unmatched
17/08/2024,Blink,molto molto interessante.,Malcolm Gladwell,9780141022048,matched
18/08/2024,Lo sguardo di Medusa,bello.,"Natalie Haynes, Ginevra Lamberti",9788845414138,matched
24/08/2024,I reietti dell'altro pianeta,interessante: piu' sociologico che fantascientifico.,"Ursula K. Le Guin, R. Valla",9788804689973,matched
25/08/2024,I duellanti,bello.,Joseph Conrad,9788876411953,matched
29/08/2024,Meridiano di sangue,"bof, carino a tratti.",Cormac McCarthy,9788806223229,matched
31/08/2024,Discorso sulla servitu' volontaria,bof: molto datato e superficiale.,,,unmatched
02/09/2024,Le civette impossibili,carino.,Brian Phillips,9788845935091,matched
04/09/2024,La guerra dei mondi,"cariino, fa specie pensare a una guerra senza aviazione.","Herbert George Wells, Mirko Esposito",9788807904301,matched
06/09/2024,Magnificat,bello.,Sonia Aggio,9791259671424,matched
08/09/2024,Think Again,"molto molto interessante, al pari degli altri suoi simili.",,,unmatched
12/09/2024,Salute!,"bof, proprio deludente.",,,unmatched
17/09/2024,Il punto di Giano,"bof, molto complesso e la seconda meta' l'ho letta molto velocemente.",,,unmatched
18/09/2024,Il mare,carino ma bof.,"John Banville, Eva Kampmann",9788823522077,matched
19/09/2024,Vita in pugno,carino.,,,unmatched
21/09/2024,Regole di ingaggio,"interessante, meritava un approfondimento.","William Langewiesche, M. Codignola",9788845922190,matched
25/09/2024,Zero Kill,divertente e irriverente.,"Yassir Benmiloud, J. De Michelis",9788804536550,matched
28/09/2024,Il volto del male,interessante.,,,unmatched
05/10/2024,La conoscenza necessaria,molto molto interessante.,,,unmatched
12/10/2024,L'ordine nascosto,"molto interessante, un mondo completamente sconosciuto.",,,unmatched
14/10/2024,L'oro della patria,"molto interessante, una storia sconosciuta e triste.",,,unmatched
19/10/2024,Guardate meglio,molto interessante e difficile da mettere in pratica.,,,unmatched
22/10/2024,"Kim-Ji Young, nata nel 1982",agghiacciante.,"Nam-Joo Cho, Filippo Bernardini",9788894814347,matched
24/10/2024,L'avversario,disturbante.,,,unmatched
27/10/2024,Misurare la storia,"interessante, fa il paio con quello sulla dendrocronologia.",,,unmatched
08/11/2024,Storia universale delle lingue,"interessante, anche se molte parti fin troppo dettagliate!",,,unmatched
09/11/2024,Il paese di sogno,"bof, proprio niente di che.","David Diop, Giovanni Zucca",9788854530713,matched
10/11/2024,Di turno la notte di natale,leggero e carino.,"Adam Kay, Gioia Sartori",9788804731559,matched
12/11/2024,L'uomo invisibile,"carino, per nulla datato.",,,unmatched
16/11/2024,Tutti i mondi possibili,molto interessante.,,,unmatched
18/11/2024,"Non e' vero, ma ci credo",qualche intervento interessante.,,,unmatched
20/11/2024,Quattro ipotesi sull'origine del linguaggio,molto interessante.,Lorenzo Pinna,9791254501153,matched
27/11/2024,Il cuore selvaggio della natura,molto bello.,,,unmatched
01/12/2024,This is going to hurt,"carino, e fa pensare.",,,unmatched
10/12/2024,Donnie Brasco,"interessante, anche se Pistone soffre un po' del mito del mondo di strada.",,,unmatched
14/12/2024,Ti con zero,"interessante, ma non tutti i racconti ben riusciti.",Italo Calvino,9788804772781,matched
18/12/2024,La notte non fa paura,"molto bello e delicato, una lettura importante.",,,unmatched
25/12/2024,La stiva e l'abisso,"Mari non si smentisce, anche se a tratti e fin troppo aulico.",Michele Mari,9788806237950,matched
28/12/2024,Why we read,"interessanti alcuni spunti, meno interessanti altri.",AA.VV.,9781802060959,matched
02/01/2025,Greco cerca Greca,"molto carino, con due finali!","Friedrich Dürrenmatt, Margherita Belardetti",9788845939334,matched
09/01/2025,Scintille,"interessante, forse un filo troppo lungo.",,,unmatched
11/01/2025,Il lato nobile,bof.,,,unmatched
13/01/2025,M. L'ora del destino,"molto bello, come gli altri.",Antonio Scurati,9788830104976,matched
17/01/2025,Irresistible,"interessante, anche se va un po' di palo in frasca.",Adam Alter,9780735222847,matched
